seed,target,rmse,mae,r2,auc
42,Return,35.16790443392704,24.49124172049182,0.2525967221040215,
42,Volume,1.2677565314130173,0.9855177567619702,0.266357672476206,
42,MarginStress,,,,0.6337837837837837
52,Return,40.119557932115086,25.258783370414537,0.42753843093425115,
52,Volume,1.3478642664274254,1.0411235166944954,0.3322596527752991,
52,MarginStress,,,,0.6793628808864266
62,Return,40.9209462976252,25.328042531106757,0.38511269853196395,
62,Volume,1.2774647929870082,0.9955241187562954,0.4994290139983195,
62,MarginStress,,,,0.6223386832623649
72,Return,33.404060195065576,22.807746543875695,0.41922288916663975,
72,Volume,1.14182641219273,0.8932824541326596,0.4861269745534409,
72,MarginStress,,,,0.6544382574516868
82,Return,30.48506925194515,19.413413775060178,0.1492139294517374,
82,Volume,1.2634447890127065,0.9955723709333673,0.44260379579931597,
82,MarginStress,,,,0.7211573236889692
