证券代码,证券简称,上市日期↓,网上发行有效认购倍数,网下发行有效申购倍数,市净率PB,市盈率PE,振幅,收盘价,开盘价,最高价,最低价,成交量,相对发行价涨跌,相对发行价涨跌幅,所属Wind行业名称,发行价,marginstress10,AH_dummy,MM恐惧与贪婪指数
3317.HK,迅策,2025-12-30 00:00:00,7.24,,9.283077625,-172.4110313,22.54166667,48.5,48.02,48.84,38.02,4380600,0.5,1.041666667,信息技术,48,1,0,41.2
2657.HK,林清轩,2025-12-30 00:00:00,1235.81,19.79,17.96098304,58.84105448,8.550855086,85,85,91.65,85,5242564,7.23,9.29664395,医疗保健,77.77,0,0,41.2
2671.HK,美联股份,2025-12-30 00:00:00,146.25,1.48,1.96480548,11.42679735,64.78873239,7.64,8.21,12,7.4,13859700,0.54,7.605633803,工业,7.1,0,0,41.2
6600.HK,卧安机器人,2025-12-30 00:00:00,254.5,8.9,76.94666288,-4943.835606,1.62601626,73.85,73.8,75,73.8,4724850,0.05,0.067750678,信息技术,73.8,0,0,41.2
3696.HK,英矽智能,2025-12-30 00:00:00,1427.37,26.27,-3.242595709,-125.926174,23.78378378,29.98,35,35.7,29.98,37735345,5.93,24.65696466,医疗保健,24.05,1,0,41.2
6651.HK,五一视界,2025-12-30 00:00:00,256.01,2.6,61.12987413,-188.419721,15.73770492,39.62,35,39.8,35,5321300,9.12,29.90163934,信息技术,30.5,0,0,41.2
3378.HK,翰思艾泰-B,2025-12-23 00:00:00,3074.09,5.78,13.05155991,-18.73157444,38.375,17.2,28.9,29.48,17.2,9903100,-14.8,-46.25,医疗保健,32,1,0,40.23
2661.HK,轻松健康,2025-12-23 00:00:00,1421.47,2.9,-9.206219827,1078.88078,47.61904762,58.7,50,59.8,49,6239600,36.02,158.8183422,金融,22.68,0,0,40.23
2635.HK,诺比侃,2025-12-23 00:00:00,188.74,2.08,20.33617922,112.7650727,76.25,371,319.8,371,310,868750,291,363.75,信息技术,80,0,0,40.23
2691.HK,南华期货股份,2025-12-22 00:00:00,1.91,0.99,1.469712887,13.20657559,14.16666667,9.1,9.13,10.4,8.7,7945500,-2.9,-24.16666667,金融,12,0,1,40.23
2396.HK,华芢生物-B,2025-12-22 00:00:00,791.95,6.05,19.54230202,-13.86007272,26.70157068,27,33.8,37.2,27,4989600,-11.2,-29.31937173,医疗保健,38.2,1,0,40.23
2695.HK,印象大红袍,2025-12-22 00:00:00,3397.48,1.91,1.275046195,7.258026208,29.72222222,2.33,3.26,3.4,2.33,42683000,-1.27,-35.27777778,通讯服务,3.6,1,0,40.23
2581.HK,明基医院,2025-12-22 00:00:00,6.28,1.28,0.843800665,12.51797754,19.05781585,4.72,6.5,6.5,4.72,7845000,-4.62,-49.46466809,医疗保健,9.34,1,0,40.23
3881.HK,希迪智驾,2025-12-19 00:00:00,22.55,2.1,-8.235366138,-15.8513096,17.11026616,227,263,263,218,811640,-36,-13.68821293,信息技术,263,1,0,40.23
2546.HK,智汇矿业,2025-12-19 00:00:00,5248.15,2.68,3.756748085,69.5537822,64.74501109,8.6,10.8,10.92,8,30390200,4.09,90.68736142,材料,4.51,1,0,40.23
3887.HK,HASHKEY HLDGS,2025-12-17 00:00:00,393.71,5.46,-17.20803234,-15.51205426,14.97005988,6.67,6.7,7.12,6.12,98920830,-0.01,-0.149700599,信息技术,6.68,0,0,46.26
2655.HK,果下科技,2025-12-16 00:00:00,1890.73,3.63,108.318907,422.6838873,57.01492537,43.8,38,49.3,37.84,8732200,23.7,117.9104478,信息技术,20.1,0,0,46.26
7618.HK,京东工业,2025-12-11 00:00:00,60.52,7.88,72.0589195,46.07625612,10.56737589,14.1,13,14.15,12.66,39585468,0,0,可选消费,14.1,0,0,51.25
2665.HK,图达通,2025-12-10 00:00:00,,,-2.289393542,-5.588576399,73.1,13.3,11,17.31,10,8929500,3.3,33,可选消费,10,0,0,51.25
2659.HK,宝济药业-B,2025-12-10 00:00:00,3526.34,6.59,19.0966829,-52.18497825,27.10386657,63,60.5,63.15,56,7930300,36.62,138.8172858,医疗保健,26.38,0,0,51.25
2676.HK,纳芯微,2025-12-08 00:00:00,25.33,2.65,2.795295857,-41.22987497,9.310344828,111,116,116,105.2,2014583,-5,-4.310344828,信息技术,116,0,1,51.25
2687.HK,卓越睿新,2025-12-08 00:00:00,4813.4,2.33,15.64225138,74.26820247,89.62962963,126.4,83.6,142.5,82,1510300,58.9,87.25925926,信息技术,67.5,0,0,51.25
